NI20200215,APTO,6.6,
NI20200216,APTO,7.8,
NI20200217,APTO,8,
NI20200218,,,
NI20200219,,,
NI20200220,APTO,7.3,
NI20200221,APTO,5.3,
NI20200222,,,
NI20200223,APTO,7.8,
NI20200224,,,
NI20200225,APTO,7.8,
NI20200226,APTO,8.1,
NI20200227,APTO,5,
NI20200228,,,
NI20200229,,,
NI20200230,APTO,6.5,
NI20200231,APTO,5.6,
NI20200232,,,
NI20200233,APTO,6,
NI20200234,APTO,6.5,
NI20200235,APTO,6.8,
NI20200236,,,
NI20200237,,,
NI20200238,APTO,7.1,
NI20200239,APTO,8.5,
NI20200240,APTO,7.5,
NI20200241,APTO,8.8,
NI20200242,APTO,7.3,
NI20200243,APTO,5,
NI20200244,,,
NI20200245,,,
NI20200246,APTO,8,
NI20200247,APTO,7.3,
NI20200248,APTO,8.1,
NI20200249,APTO,9,
NI20200250,APTO,9,
NI20200251,APTO,7.3,
NI20200252,APTO,6.8,
NI20200253,APTO,5.1,
NI20200254,APTO,7,
NI20200255,APTO,8.1,
NI20200256,APTO,6.6,
NI20200257,APTO,7.6,
NI20200258,APTO,7.1,
NI20200259,APTO,8.3,
NI20200260,APTO,6,
NI20200261,APTO,6.6,
NI20200262,APTO,7,
NI20200263,APTO,5,
NI20200264,,,
NI20200265,APTO,8.5,
NI20200266,APTO,8.5,
NI20200267,APTO,7.3,
NI20200268,APTO,9.1,
NI20200269,APTO,7.8,
NI20200270,APTO,7.6,
NI20200271,APTO,8.1,
NI20200272,APTO,6.5,
NI20200273,APTO,5.8,
NI20200274,APTO,8,
NI20200275,APTO,5.7,
NI20200276,APTO,5.3,
NI20200277,,,
NI20200278,,,
NI20200279,,,
NI20200280,APTO,8,
NI20200281,APTO,5.6,
NI20200282,APTO,5.3,
NI20200283,APTO,8.1,
NI20200284,,,
NI20200285,,,
NI20200286,APTO,6.8,
NI20200287,APTO,9,
NI20200288,APTO,5.3,
NI20200289,APTO,5,
NI20200290,APTO,9.6,
NI20200291,NO APTO,4.5,
NI20200292,APTO,7.1,
NI20200293,APTO,8.1,
NI20200294,APTO,9.1,
NI20200295,APTO,6.8,
NI20200296,APTO,6.6,
NI20200297,APTO,8.1,
NI20200298,APTO,7.8,
NI20200299,APTO,7,
NI20200300,APTO,8,
NI20200301,APTO,6.6,
NI20200302,APTO,7.1,
NI20200303,APTO,7,
NI20200304,APTO,6.8,
NI20200305,,,
NI20200306,APTO,5.3,
NI20200307,APTO,9.1,
NI20200308,APTO,7.8,
NI20200309,APTO,7.6,
NI20200310,,,
NI20200311,APTO,7.3,
NI20200312,APTO,8.1,
NI20200313,,,
NI20200314,,,
NI20200315,,,
NI20200316,,,
NI20200317,,,
NI20200318,,,
NI20200319,,,
NI20200320,,,
NI20200321,,,
NI20200322,,,
NI20200323,,,
NI20200324,,,
NI20200325,,,
NI20200326,,,
NI20200327,,,
NI20200328,,,
NI20200329,APTO,5,
NI20200330,APTO,8,
NI20200331,APTO,8,
NI20200332,,,
NI20200333,APTO,7.6,
NI20200334,APTO,7.6,
NI20200335,APTO,8,
NI20200336,APTO,9.6,
NI20200337,,,
NI20200338,APTO,9,
NI20200339,APTO,10,
NI20200340,APTO,7.6,
NI20200341,APTO,8.6,
NI20200342,APTO,6.3,
NI20200343,APTO,7.3,
NI20200344,APTO,7.6,
NI20200345,APTO,8.3,
NI20200346,APTO,7.6,
NI20200347,APTO,5,
NI20200348,APTO,8,
NI20200349,APTO,8.3,
NI20200350,APTO,8,
NI20200351,APTO,7.6,
NI20200352,APTO,7.6,
NI20200353,APTO,7.6,
NI20200354,APTO,6.6,
NI20200355,APTO,7.3,
NI20200356,APTO,8.6,
NI20200357,APTO,8,
NI20200358,APTO,8.6,
NI20200359,APTO,9.6,
NI20210001,APTO,6,
NI20210002,APTO,8,
NI20210003,APTO,8,
NI20210004,APTO,8.6,
NI20210005,APTO,5,
NI20210006,APTO,5.6,
NI20210007,APTO,5,
NI20210008,APTO,7.6,
NI20210009,APTO,8,
NI20210010,,,
NI20210011,APTO,8,
NI20210012,,,
NI20210013,APTO,8,
NI20210014,,,
NI20210015,APTO,8,
NI20210016,APTO,8,
NI20210017,,,
NI20210018,,,
NI20210019,APTO,8,
NI20210020,,,
NI20210021,APTO,5,
NI20210022,APTO,5,
NI20210023,APTO,8.7,
NI20210024,APTO,7.7,
NI20210025,APTO,9,
NI20210026,APTO,6.7,
NI20210027,APTO,8.3,
NI20210028,APTO,7.3,
NI20210029,APTO,7.6,
NI20210030,APTO,7.7,
NI20210031,APTO,9.6,
NI20210032,APTO,5,
NI20210033,,,
NI20210034,APTO,8.4,
NI20210035,,,
NI20210036,,,
NI20210037,APTO,7.3,
NI20210038,APTO,7,
NI20210039,APTO,8.7,
NI20210040,APTO,9.3,
NI20210041,,,
NI20210042,APTO,8,
NI20210043,,,
NI20210044,APTO,8,
NI20210045,APTO,8.7,
NI20210046,APTO,7.3,
NI20210047,APTO,5.7,
NI20210048,APTO,6.7,
NI20210049,APTO,7.7,
NI20210050,APTO,9.3,
NI20210051,APTO,7.7,
NI20210052,APTO,7,
NI20210053,APTO,9.3,
NI20210054,,,
NI20210055,APTO,7.6,
NI20210056,NO APTO,4.7,NO
NI20210057,APTO,7.7,
NI20210058,APTO,9.6,
NI20210059,APTO,9.3,
NI20210060,APTO,6.3,
NI20210061,APTO,7.3,
NI20210062,APTO,8,
NI20210063,APTO,8.3,
NI20210064,APTO,9,
NI20210065,,,
NI20210066,APTO,8.7,
NI20210067,APTO,8.7,
NI20210068,APTO,9.3,
NI20210069,APTO,7.3,
NI20210070,APTO,6.3,
